-armig;-karú
Stelle (e);hivatal
Stelle (e);hely
Stelle (e);állás
stellen;tesz
stellen;rak
stellen;helyez
stellen;beigazít
stellen;beállít
stellen;állít
stellen s.;színlel vmit
stellen s.;jelentkezik
stellen s.;áll vhova
stellenlos;állástalan
stellenweise;helyenként
Stellung (e);állás
stellungslos;állástalan
Stelze (e);müláb
Stelze (e);gólyaláb
Stemmeisen;véső
Stemmeisen (s);véső
stemmen;támaszt
stemmen;nekiszorít
stemmen;kinyom (sp)
stemmen;fesztí
Stempel (r);pecsét
Stempel (r);bélyegző
Stempelmarke (e);okmánybélyeg
stempeln;megbélyegez
stempeln;lebélyegez
stempeln;felbélyegez
Stengel (r);szár
Stenographie (e);gyorsírás
stenographieren;gyorsír
Stephan;István
Steppdecke (e);tüzött paplan
Steppe (e);sztyepp
steppen;tűzdel
steppen;tüzdel
steppen;kivarr
sterben an;meghal vmiben
sterben an +D;meghal vmiben
sterbend;haldokló
sterbend;elhaló (átv.)
sterbend;elhaló
sterblich;halandó
sterblich;halálos
Sterlet (r);kecsege
Stern (r);csillag
Sternwarte (e);csillagvizsgáló
stetig;tartós
stetig;folytonos
stetig;állandó
stets;mindig
stets;folyvást
Steuer;kormány (jármű)
Steuer (e);adó
Steuer (s);kormány (jármü)
Steueramt;adóhivatal
Steueramt (s);adóhivatal
Steuerbord;jobboldal (hajó)
Steuerbord (s);jobboldal (hajó)
steuerfrei;adómentes
Steuermann (r);kormányos
steuern;vezérel (műsz)
steuern;vezérel (müsz)
steuern;kormányoz
steuern;adózik
steuerpflichtig;adóköteles
Steuerrad;kormánykerék
Steuerrad (s);kormánykerék
Steuerung (e);vezérmü
Steuerung (e);vezérlés
Steuerung (e);kormányzás
Steuerung (e);kormánymü (müsz)
Stewardeß (e);stewardes
Stewardeß (e);pincérnő
Stewardeß (e);légikisasszony
stibitzen;elcsen
Stich (e);szúró fájdalom
Stich (e);szúrás
Stich (e);színárnyalat
Stich (e);öltés
Stich (e);ütés (kártya)
Stich (e);ölés (állat)
Stich (e);nyilallás
Stich (e);metszet (kép)
Stich (e);levágás
Stich (e);enyhe mellékíz
Stich (e);döfés
Stich (e);csípés
Stich (e);bökés
Stichel (r);véső
Stichel (r);ár
sticheln;kötekedik
sticheln;csipkelődik
stichhaltig;helytálló
Stichprobe (e);szúrópróba
Stichwort;végszó
Stichwort;címszó
Stichwort (s);végszó (színház)
Stichwort (s);címszó
sticken;hímez
Stickerei (e);hímzés
stickig;fullasztó
stickig;fojtó
Stickoxid;nitrogénoxid
Stickoxid (s);nitrogénoxid
Stickstoff (r);nitrogén
stieben;szétszóródik
stieben;szétporlad
stieben;porlik
Stiefbruder (r);mostohafivér
Stiefel (r);magasszárú cipő (nem Ausztriában)
Stiefel (r);csizma
Stiefel (r);bakancs
Stiefeltern (Pl.);mostohaszülők
Stiefmutter (e);mostohaanya
Stiefmütterchen;árvácska
stiefmütterlich;mostoha
Stiefvater (r);mostohaapa
stieg;ld. steigen
Stiege (e);lépcső
Stieglitz (r);tengelice
Stiel (r);szár
Stiel (r);nyél
Stiel (r);kocsány
Stiel (r);fogantyú
Stier (r);bika
stieß;ld. stoßen
Stift (r);szög
Stift (r);pecek
Stift (r);ceruza
Stift (r);apátság (Ausztria)
Stift (r);alapítvány
stiften;okoz (káros dolgot)
stiften;létrehoz
stiften;előidéz
stiften;alapít
stiften;ajándékoz
stiften;adományoz
stiften;ad
Stifter (r);okozó
Stifter (r);ok
Stifter (r);alapító
Stifter (r);adományozó
Stiftung (e);alapítvány
Stiftung (e);alapítás
Stil (r);stílus
Stilart (e);stílusirányzat
Stilepoche (e);stíluskorszak
stilgemäß;stílszerű
stilgemäß;stílszerü
stilisieren;stilizál
stilisiert;stilizált
stilistisch;stilisztikai
still;nyugodt
still;mozdulatlan
still;halk
still;csendes
stillbleiben;veszteg marad
stillbleiben;nyugton marad
stillbleiben;csendben marad
stillbleiben;csenben marad
Stille (e);némaság
Stille (e);mozdulatlanság
Stille (e);hallgatás
Stille (e);csend
stille Zeit;holtszezon
stille Zeit;holt idény
Stilleben;csendélet
Stilleben (s);csendélet
stillegen;megszüntet
stillegen;leállít
stillegen;beszüntet
stillen;tenger)
stillen;szoptat
stillen;megbékít
stillen;lecsendesít
stillen;lecsendesedik (szél
stillen;enyhít
stillen;elállít
stillen;csillapít
stillhalten;nyugton marad
stillos;stílustalan
stillschweigend;hallgatólagos
stillschweigend;hallgatag
stillschweigend;csendes
Stillstand (r);üzemszünet
Stillstand (r);tétlenség
Stillstand (r);nyugalmi helyzet
Stillstand (r);megállás
Stillstand (r);leállás
Stilmöbel;stílbútor
Stilmöbel (s);stílbútor
Stimmband;hangszalag (gégében)
Stimmband (s);hangszalag (gégében)
Stimme (e);szavazat
Stimme (e);hang
stimmen;szavaz
stimmen;rendben van
stimmen;összhangban van
stimmen;hangol
stimmhaft;zöngés (nyelvt)
stimmlos;zöngétlen (nyelvt)
stimmlos;hangtalan
Stimmung (e);kedv
Stimmung (e);hangulat
stimmungsvoll;hangulatos
stinken;bűzlik
stinken;büzlik
stinkend;büdös
Stipendium;ösztöndíj
Stipendium (s);ösztöndíj
Stirn (e);homlokzat
Stirn (e);homlok
Stirn (e);front
Stirne (e);ld. Stirn
Stirnhöhle (e);homloküreg
Stirnseite (e);homlokzat
stob;ld. stieben
stochern;piszkál
Stock (r);tuskó
Stock (r);tőke
Stock (r);raktári állomány
Stock (r);pálca
Stock (r);fatuskó
Stock (r);fatönk
Stock (r);fajankó (átv.)
Stock (r);bot
Stock (r);árukészlet
Stock (r);alaptőke
Stock (r)(s);emelet
stockdumm;tökkelütött
stockdunkel;koromsötét
stocken;torlódik
stocken;pang
stocken;megrekeszt
stocken;megalvad
stocken;megalszik
stocken;megállít
stocken;megakaszt
stocken;elállít
stocken (s.);megreked
stocken (s.);megakad
stocken (s.);akadozik
stocken s.;bokrosodik
stockfinster;koromsötét
stockfremd;vadidegen
stocktaub;süket, mint az ágyú
stocktaub;süket
stocktaub;mint az ágyú
Stockung (e);torlódás
Stockung (e);pangás
Stockung (e);megakadás
Stockung (e);közlekedési dugó
Stockung (e);fennakadás
Stockwerk;emelet
Stockwerk (s);emelet
Stoff (r);szövet
Stoff (r);kelme
Stoff (r);anyag
Stoffwechel (r);anyagcsere
stolperig;hepehupás
stolperig;göröngyös
stolpern;megbotlik
stolpern;botorkál
stolpern;botladozik
stolprig;hepehupás
stolprig;göröngyös
stolz;délceg
stolz;büszke
Stolz (r);büszkeség
stolzieren;peckesen lépked
stolzieren;feszít
stopfen;töm
stopfen;stoppol
stopfen;megtöm
stopfen;hizlal
stopfen;foltoz
stopfen;eldugaszol
stopfen;betöm
Stoppel (e);tarló
Stoppel (e);borosta
Stoppel (r);dugó
Stoppel (r);dugasz
stoppeln;tarlóz
stoppeln;tallóz
stoppeln;innen-onnan összeszed
stoppen;stoppol
stoppen;megállít
stoppen;megáll
stoppen;leállít
stoppen;leáll
stoppen;időt mér
Stopplicht;stoplámpa
Stopplicht (s);stoplámpa
Stoppuhr (e);stopperóra
Storch (r);gólya
stornieren;töröl
Stoß (r);ütés
Stoß (r);taszítás
Stoß (r);szúrás
Stoß (r);rúgás
Stoß (r);rakás
Stoß (r);lökés
Stoß (r);halmaz
Stoß (r);döfés
stoßen;üt
stoßen;taszít
stoßen;szúr
stoßen;rátalál vkire/vmire
stoßen;rábukkan
stoßen;ráakad
stoßen;összetör
stoßen;összetol
stoßen;összeilleszt
stoßen;megtör
stoßen;meglök
stoßen;döf
stoßen;csatlakozik vmihez
stoßen auf;nekiütközik vminek
stoßen auf;belebotlik vmibe
stoßen auf +A;nekiütközik vminek
stoßen auf +A;belebotlik vmibe
Stoßstange (e);ütköző
Stoßstange (e);lökhárító
Stoßstunde (e);csúcsforgalmi óra
Stoßtrupp (r);rohamcsapat
Stoßzahn (r);agyar
stottern;hebeg
stottern;dadog
stöbern;kutat
stöbern;keresgél
Stöckel (r);magas cipősarok
stöhnen;nyög
Stöpsel (r);dugó
stöpseln;bedugaszol
Stör (r);tok
stören;megzavar
Störenfried (r);rendbontó
störrig;nyakas
störrig;makacs
störrig;csökönyös
Störung (e);zavarás
Störung (e);zavar
Str. (Straße);út)
Str. (Straße);u. (utca
stracks;pontosan
stracks;mereven
stracks;egyenest
stracks;egyenesen
stracks;azonnal
Strafanstalt (e);fogház
Strafanstalt (e);fegyintézet
Strafanstalt (e);fegyház
Strafanstalt (e);börtön
strafbar;büntethető
strafbar;büntetendő
strafbar;bűnös
strafbar;bünös
Strafe (e);fenyítés
Strafe (e);büntetés
strafen;megbüntet
straff;szoros
straff;feszes
straffen;megfeszít
straffen;kifeszít
straffen s.;megfeszül
straffen s.;kifeszül
Straffheit (e);feszesség
straflos;büntetlen
strafrechtlich;büntetőjogi
Strafstoß (r);büntetőrúgás
Strafstoß (r);büntetődobás (sp)
Strafverfahren;büntetőeljárás
Strahl (r);fénysugár
strahlen;sugároz
strahlen;ragyog
strahlend;sugárzó
strahlend;ragyogó
Strahlung (e);sugárzás
stramm;kemény
stramm;katonás
stramm;feszes
strampeln;rúgkapál
strampeln;pedáloz
strampeln;kapálózik
Strand (r);tengerpart
Strand (r);strandfürdő
Strand (r);strand
stranden;zátonyra fut
stranden;partra vetődik
Strang (r);kötél
Strapaze (e);vesződés
Strapaze (e);strapa
Strapaze (e);koptatás
Strapaze (e);fáradság
strapazieren;strapál
strapazieren;koptat
strapazieren;fáraszt
strapazieren s.;töri magát
strapazieren s.;fárad
Straße (e);útvonal
Straße (e);utca
Straße (e);út
Straßenbahn (e);villamos
Straßenbau (r);útépítés
Straßenzimmer;utcai szoba (utcára néző)
Strauch (r);cserje
Strauch (r);bozót
Strauch (r);bokor
straucheln;megbotlik
strauchig;cserjés
strauchig;bozótos
Strauß (r);strucc
Strauß (r);csokor
Strauß (r);cserje
Strauß (r);bozót
Strauß (r);bokréta
Strauß (r);bokor
streben;töri magát
streben;törekszik
streben;törekedik
strebsam;törekvő
strebsam;igyekvő
Strecke (e);vasúti pálya
Strecke (e);távolság
Strecke (e);szakasz
strecken;leterít (vadat)
strecken;leterít
strecken;kiterjeszt
strecken;kinyújt
strecken;földre terít
strecken;elnyújt
strecken;elhúz (átv.)
strecken;elhúz
strecken;elejt
strecken s.;nyújtózkodik
strecken s.;leheveredik
strecken s.;elnyúlik
Streich (r);ütés
Streich (r);tett
Streich (r);csíny
Streich (r);cselfogás
Streich (r);csapás
streicheln;simogat
streicheln;cirógat
streichen;megy
streichen;terjed
streichen;vonul
streichen;töröl
streichen;simogat
streichen;simít
streichen;repül (madár)
streichen;kóborol
streichen;kihúz
streichen;ken (vmit vmire)
streichen;húz
streichen;elnyúlik
streichen;bemázol
streichen;bejár
streichen;befest
Streichholz;gyufa
Streichholz (s);gyufa
Streichkäse (r);kenősajt
Streichquartett;vonósnégyes
Streichung (e);törlés
streifen;sávoz
streifen;portyázik
streifen;kószál
streifen;horzsol
streifen;gyorsan lehúz
streifen;feltűr
streifen;feltür
streifen;felgyür
streifen;érint
streifen;csíkoz
streifen;barangol
Streifen (r);szalag
Streifen (r);sáv
Streifen (r);csík
streifig;sávos
streifig;csíkozott
streifig;csíkos
Streiflicht;fénycsóva
Streiflicht (s);fénycsóva
Streifzug (r);portyázás
Streifzug (r);kószálás
Streifzug (r);barangolás
Streik (r);sztrájk
streiken;sztrájkol
Streit (r);vita
Streit (r);viszály
Streit (r);viaskodás
Streit (r);veszekedés
Streit (r);harc
Streit anfangen mit jm.;összeveszik vkivel
Streit anfangen mit jm.;összevész vkivel
streitbar;vitás
streitbar;harcias
streiten;vitázik
streiten;vitatkozik
streiten;veszekedik
streiten;küzd
streiten;harcol
Streitfrage (e);vitás kérdés
streitig;vitás
streitig;veszekedő
streitig;kétes
streitig;kérdéses
streitig;civakodó
Streitkräfte (Pl.);fegyveres erők
Streitmacht (e);haderő
streitsüchtig;veszekedős
streng;szigorú
Strenge (e);szigorúság
Strenge (e);szigor
Streu (e);alom
streuen;szór
streuen;hint
Streupulver;hintőpor
Streupulver (s);hintőpor
Streuzucker (r);porcukor
strich;ld. streichen
Strich (r);vonás
Strich (r);vonal
Strich (r);húzás
Strich für Strich;pontosan
stricheln;vonalkáz
Strichpunkt (r);pontosvessző
Strick (r);zsineg
Strick (r);madzag
Strick (r);kötél
stricken;köt (kézimunka)
Strickware (e);kötöttáru
striegeln;lecsutakol
Strieme (e);sáv
strikt;szigorú
strikt;pontos
strikte;szigorúan
strikte;pontosan
strinkwasser;ivóvíz
Strippe (e);talpalló
Strippe (e);madzag
Strippe (e);csizma füle
stritt;ld. streiten
strittig;ld. streitig
Stroh;szalma
Stroh (s);szalma
Strolch (r);csavargó
strolchen;csavarog
Strom (r);folyó
Strom (r);folyam
Strom (r);áram (müsz)
Strom (r);áradat
Strom (r);ár
Stromanschlu (r);villanyvezeték
Stromkreis (r);áramkör (müsz)
Strophe (e);versszak
Strophe (e);strófa
strotzen;duzzad
strotzen;dagad
strömen;önt
strömen;ömlik
strömen;eláraszt
strömen;áramlik
strömen;árad
Strömung (e);sodrás
Strömung (e);irányzat
Strömung (e);folyás
Strömung (e);áramlat (átv.)
Strömung (e);áramlás
Strömung (e);ár
Strudel (r);rétes
Strudel (r);örvény
Strudel (r);forgatag
strudeln;sodor
strudeln;örvénylik
strudeln;kavarog
strudeln;forr
strudeln;forog
strudeln;forgat
Strumpf (r);harisnya
Strumpfhose (e);harisnyanadrág
Strunk (r);tuskó
Strunk (r);torzsa
Strunk (r);fatönk
struppig;lompos
struppig;bozontos
struppig;borzas
strückeln;told
strückeln;szétdarabol
strückeln;feldarabol
Stube (e);szoba
Stubenfrau (e);szobalány
Student (r);főiskolai hallgató
Student (r);egyetemista
Student (r);diák
Studentenheim;kollégium
Studentenheim;diákszálló
Studentenheim;diákotthon
Studentin (e);főiskolai hallgató lány
Studentin (e);egyetemista lány
Studentin (e);diáklány
Studie (e);tanulmány
Studienpaß (r);index (egyetemi)
Studienreise (e);tanulmányút
studieren;töpreng
studieren;tanulmányoz
studieren;tanul
studieren;gondolkodik
Studium;felsőfokú tanulmány
Studium (s);felsőfokú tanulmány
Stufe (e);rakétalépcső
Stufe (e);lépcsőfok
Stufe (e);fokozat
Stufe (e);fok
stufenweise;fokozatosan
stufenweise;fokonként
Stuhl (r);szék
Stuhlgang (r);széklet
Stuhlgang (r);székelés
Stuhlweißenburg;Székesfehérvár
Stulle (e);zsíros kenyér
Stulle (e);vajas kenyér
stumm;szótlan
stumm;néma
stumm;hallgatag
stumm werden;megnémul
stumm werden;elnémul
Stummel (r);csutak
stummelhaft;csonka
Stummfilm (r);némafilm
stumpf;tompa
stumpf;életlen
Stumpf (r);tuskó
Stumpf (r);fatörzs
Stumpf (r);csonk
stumpfer Winkel;tompaszög
stumpsinnig;eltompult
stumpsinnig;bárgyú
Stunde (e);óra (időtartam
Stunde (e);iskolai)
stundenlang;óraszámra
stundenlang;órák hosszat
Stundenlohn (r);órabér
Stundenplan (r);órarend
stundenweise;óránkénti
stundenweise;óránként
Stundenzahl (e);óraszám
stupid;ostoba
stupid;bárgyú
stur;makacs
stur;korlátolt
stur;csökönyös
Sturm (r);vihar
Sturm (r);roham (kat)
sturmvoll;viharos
Sturz (r);fedő
Sturz (r);esés
Sturz (r);bura
Sturz (r);bukás
Sturzbach (r);hegyi patak
Sturzbad;zuhany
Sturzbad;tus
Sturzbad (s);zuhany
Sturzbad (s);tus
Sturzgut;ömlesztett áru
Sturzgut (s);ömlesztett áru
Stute (e);kanca
stutzen;visszahőköl
stutzen;megnyírbál
stutzen;meghökken
stutzen;lenyír
Stutzen (r);kötött lábszárvédő
Stutzen (r);csőcsonk (müsz)
stutzig;zavart
stutzig;meghökkent
stutzig;lenyírt
stutzig;lenyesegett
stutzig machen;meghökkent
stutzig werden;meghökken
Stück;tett
Stück;színdarab
Stück;rész
Stück;darab
Stück;csíny
Stück (s);tett
Stück (s);színdarab
Stück (s);rész
Stück (s);darab
Stück (s);csíny
Stückchen;darabka
Stückchen;csíny
Stückchen (s);darabka
Stückchen (s);csíny
Stückgut;darabáru
Stückgut (s);darabáru
stückig;darabos
stückweise;darabonként
Stümper (r);kontár
stümpern;kontárkodik
stündlich;óránként
stürmen;viharosan fúj
stürmen;száguld (szél)
stürmen;száguld
stürmen;rohan
stürmen;rátámad vkire
stürmen;ostromol vkit
stürmen;ostromol
stürmen;megrohamoz
Stürmer (r);ostromló
Stürmer (r);csatár (sp)
stürmisch;viharos (átv. is)
stürmisch;viharos
stürzen;ledől
stürzen;leesik
stürzen;ledönt
stürzen;ráborít
stürzen;taszít
stürzen;rádönt
stürzen;összeomlik
stürzen;leborít
stürzen;kiborít
stürzen;feldönt
stürzen;felbuktat
stürzen;felbukik
stürzen;elesik
stürzen;eldönt
stürzen;elbuktat
stürzen;elbukik
stürzen;beront
stürzen;beborít
stürzen s.;vetődik
stürzen s.;siet
stürzen s.;rohan
Stütze (e);támaszték
Stütze (e);támasz
stützen;támogat
stützen;megtámaszt
stützen s.;támaszkodik
SU (Sowjetunion);SZU (Szovjetunió)
Subjekt;személy
Subjekt;alany (nyelvt)
Subjekt  (s);személy
Subjekt  (s);alany (nyelvt)
subjektiv;szubjektív
subjektiv;alanyi (nyelvt)
Substantiv;főnév (nyelvt)
Substantiv (s);főnév (nyelvt)
Substanz (e);anyag
substrahieren;kivon
Substraktion (e);kivonás
Suche (e);nyomozás
Suche (e);keresés
suchen;törekszik
suchen;kutat
suchen;keres
suchen;igyekszik
Sucht (e);szenvedély
Sucht (e);mánia
Sucht (e);kór
Sud (r);főzet
Sud (r);főzés
sudeln;piszkol
sudeln;maszatol
sudeln;kontárkodik
sudeln;fuserál
Suffix;rag (nyelvt)
Suffix;képző
Suffix (s);rag (nyelvt)
Suffix (s);képző
Sulz (e);kocsonya
Summe (e);összeg
summen;zümmög
summen;zúg
summen;összegez
summen;dúdol
summen;dong
Sumpf (r);mocsár
sumpfig;mocsaras
sumpfig;ingoványos
Suppe (e);leves
Susanne;Zsuzsanna
sÜbel;rossz
sÜbel;betegség
sÜbel;baj
sÜberbleibsel;maradék
sÜberbleibsel;csökevény
sÜberdach;eresz
sÜberebot;ráígérés
sÜbergewicht;túlsúly
sÜbergewicht;túlerő
sÜbergewicht;fölény
sÜberholverbot;előzési tilalom
sÜbermaß;túlzott mérték
sÜbermaß;túlméret
sÜberschlaglaken;paplan
sÜberweisungskonto;átutalási betétszámla
Süd;dél (égtáj)
südafrikanisch;dél-afrikai
Süden;dél (égtáj)
Süden (r);déli vidék
Süden (r);déli rész
südlich;déli
südlich;dél felé
Südosten;délkelet
südöstlich;délkeleti
Südpol (r);Déli-sark
Südsee (e);Csendes-óceán
südwärts;délnek
südwärts;dél felé
Südwesten;délnyugat
südwestlich;délnyugati
Sühne (e);engesztelődés
Sühne (e);engesztelés
Sühne (e);bünhődés
Sühnegeld;bírság
Sühnegeld (s);bírság
sühnen;vezekel
sühnen;bűnhődik
sühnen;bünhődik
Sünde (e);vétek
Sünde (e);bün
Sündenbock (r);bünbak
sündigen;vétkezik
sündigen;bűnözik
sündigen;bünözik
süß;édes
Süßigkeit (e);édesség
süßlich;édeskés
Süßwaren (Pl.);édességek
Süßwarengeschäft;édességbolt
sva. (soviel aus);a.m. (annyi mint)
svw. (soviel wie);a.m. (annyi mint)
Sweatshirt;pamut sportpulóver
Sweatshirt (s);pamut sportpulóver
sweißbrot;fehér kenyér
symbolisch;szimbolikus
symbolisch;jelképes
symmetrisch;szimmetrikus
Sympatie (e);szimpátia
Sympatie (e);rokonszenv
sympatisch;szimpatikus
sympatisch;rokonszenves
Symptom;tünet
Symptom;szimtóma
Symptom (s);tünet
Symptom (s);szimtóma
syntetisch;szintetikus
System;rendszer
System (s);rendszer
Systematik (e);szisztematika
Systematik (e);rendszertan
systematisch;rendszeres
Szene (e);színpad
Szene (e);jelenet (színház)
Szepter;jogar
Szepter (s);jogar
T-Shirt;póló
T-Shirt (s);póló
Tabak (r);dohány
Tabakladen (r);dohánybolt
Tabelle (e);táblázat
Tablett;tálca
Tablett (s);tálca
Tablette (e);tabletta
Tadel (r);intés
Tadel (r);gáncs (átv)
Tadel (r);feddés
tadellos;kifogástalan
tadeln;megint
tadeln;leszid
tadeln;hibáztat
tadeln;fedd
Tafel (e);tábla
Tafel (e);étkezés
Tafel (e);asztal
tafeln;lakomázik
tafeln;étkezik
Tafelöl;étolaj
Tafelöl (s);étolaj
Tafelrunde (e);asztaltársaság
Tag (r);nappal
Tag (r);nap (időegység)
Tag für Tag;napról napra
Tag für Tag;nap nap után
tagaus, tagein;napról napra
Tagebau (r);külszíni fejtés
Tageblatt;napilap
Tageblatt (s);napilap
Tagebuch;napló
Tagebuch (s);napló
tagelang;napokon át
tagelang;napokig tartó
tagelang;naphosszat
Tagelohn (r);napszám
tagen;ülésezik
Tagesanbruch (r);virradat
Tagesanbruch (r);hajnal
Tageslicht;napfény
Tageslicht (s);napfény
Tagespresse (e);napi sajtó
Tagesschau (e);tv-híradó (napi)
Tagesschicht (e);nappali müszak
Tageszeit (e);napszak
tags;nappal
tags darauf;másnap
tags zufor;előző nap
tagsüber;napközben
tagtäglich;naponként
tagtäglich;nap mint nap
Tagung (e);ülés
Tagung (e);gyülés
Taille (e);derékbőség
Taille (e);derék
Takelung (e);vitorlázat
Takt (r);ütem
Takt (r);tapintat
Takt (r);taktus
taktlos;tapintatlan
taktvoll;tapintatos
Tal;völgy
Tal (s);völgy
talab;lefelé
talauf;fölfelé
talauf;felfelé
Talent;tehetség
Talent (s);tehetség
talentiert;tehetséges
Talg (r);faggyú
Tand (r);limlom
Tand (r);kacat
tanken;tankol
Tanker (r);tartályhajó
Tankstelle (e);benzinkút
Tanne (e);fenyő
Tannenzapfen (r);toboz
Tante (e);nagynéni
Tanz (r);tánc
tanzen;táncol
Tanzmusik (e);tánczene
Tapete (e);tapéta
tapezieren;tapétáz
tapezieren;kárpitoz
tapfer;derék
tapfer;vitéz
tapfer;derelas
tapfer;bátor
Tapferkeit (e);vitézség
Tapferkeit (e);bátorság
tappen;topog
tappen;botorkál
Tarif (r);tarifa
Tarif (r);díjszabás
tarnen;álcáz
Tasche (e);zseb
Tasche (e);táska
Taschenbuch;zsebkönyv
Taschenbuch;notesz
Taschenbuch (s);zsebkönyv
Taschenbuch (s);notesz
Taschenlampe (e);zseblámpa
Taschenradio;táskarádió
Taschenradio (s);táskarádió
Taschentuch;zsebkendő
Taschentuch (s);zsebkendő
Taschenuhr (e);zsebóra
Tasse (e);tálca
Tasse (e);csészealj
Tasse (e);csésze
tastbar;tapintható
Taste (e);billentyü
tasten;tapogat
tasten;tapint
Taster (r);tapogató
Taster (r);csáp
Taster (r);billentyü
tat;ld. tun
Tat (e);tett
Tatbestand (r);tényállás
tatenlos;tétlen
tatkräftig;tetterős
Tatsache (e);tény
tatsächlich;valóban
tatsächlich;tényleg
Tatze (e);mancs
Tau;hajókötél
Tau (r);harmat
Tau (s);hajókötél
taub;üres
taub;süket
taub werden;megsüketül
Taube(e);galamb
Taube(r)(e);süket (ember)
Taubenschlag (r);galambdúc
Tauber (r);hím galamb
Tauberich (r);hím galamb
Taubheit (e);süketség
taubstumm;süketnéma
tauchen;alámerül
tauchen;márt
tauchen;lemerül
tauchen;merít
tauchen;alábukik
Taucher (r);búvár
Tauchsieder (r);merülőforraló
tauen;olvaszt
tauen;olvad
Taufe (e);keresztség
Taufe (e);keresztelés
taufen;megkeresztel
Taufpate (r);keresztapa
Taufpatin (e);keresztanya
taufrisch;üde
taufrisch;harmatos
taufrisch;friss
Taufschein (r);keresztlevél
taugen;használható
taugen;alkalmas
Taugenichts (r);naplopó
Taugenichts (r);mihaszna
tauglich;alkalmas
tauig;harmatos
Taumel (r);mámor
Taumel (r);tántorgás
Taumel (r);támolygás
Taumel (r);kábulat
taumelig;tántorgó
taumelig;szédülő
taumeln;tántorog
taumeln;szédeleg
taumlig;tántorgó
taumlig;szédülő
Taupunkt (r);olvadási pont
Taupunkt (r);fagypont
Tausch (r);csere
tauschen;kicserél
tausend;számtalan
tausend;ezernyi
tausend;ezer
Tausend (e);ezres (szám)
Tausend (s);ezer
Tausender (r);ezres
tausenderlei;ezerféle
tausendfach;ezerszeres
Tausendfüßer (r);százlábú
tausendjährig;ezeréves
tausendmal;ezerszer
Tausendschön;százszorszép
Tausendschön (s);százszorszép
Tausendstel;ezredrész
tausendstel;ezred
Tausendstel (s);ezredrész
tausendstens;ezredszer
tausendweise;ezrével
tausensdste;ezredik
Tauwerk;kötélzet
Tauwerk (s);kötélzet
Tauwetter;olvadás
Tauwetter (s);olvadás
Taxe (e);díjszabás
Taxe (e);becslés
Taxi (r)(s);taxi
Taxi nehmen;taxit fogad
taxieren;értékel
täfeln;kitábláz
Täfelung (e);faburkolat
täglich;naponta
täglich;napjában
täglich;mindennapos
täglich;mindennapi
Tändelmarkt (r);ócskapiac
tändeln;játszadozik
tändeln;enyeleg
Tänzer (r);táncos
Tänzerin (e);táncosnő
täppisch;esetlen
Täter (r);tettes
tätig;tevékeny
Tätigkeit (e);tevékenység
tätscheln;paskol
tätscheln;cirógat
tättlich;tettleges
täuschen;megtéveszt
täuschen;áltat
täuschen s.;téved
täuschen s.;csalódik
täuschend;megtévesztő
täuschend;csalóka
Täuschung (e);megtévesztés
Täuschung (e);csalódás
Technik (e);technika
Techniker (r);technika
technisch;technikai
technisch;műszaki
technisch;müszaki
technische Hochschule;műszaki főiskola
technische Hochschule;müszaki főiskola
technische Hochschule;műszaki egyetem
technische Hochschule;müszaki egyetem
technische Hochschule;műegyetem
technische Hochschule;müegyetem
technologisch;technológiai
Tee (r);tea
Teer (r);kátrány
Teich (r);tó
Teig (r);nyerstészta
teigig;tésztás
Teigwaren (Pl.);tésztaráru
Teil (r);rész
Teil (r)(s);osztályrész
Teil (r)(s);fél
teilen;megoszt
teilen;kettéoszt
teilen;feloszt
teilen;eloszt
teilen s.;osztódik
teilen s.;megosztozik
teilen s.;megoszlik
teilen s.;kettéoszlik
teilen s.;eloszlik
Teiler (r);osztó
Teilfrage (e);részletkérdés
teilhaben;részesedik
teilhaben;része van
Teilhaber (r);társ
teilhaftig;részese vminek
Teilnahme (e);részvétel
Teilnahme (e);részvét
Teilnahme (e);részesség
teilnehmen;részt vesz (vmiben)
Teilnehmer (r);résztvevő
teils;részint
teils;részben
Teilung (e);osztozkodás
Teilung (e);osztozás
Teilung (e);osztódás
Teilung (e);osztás
teilweise;részleges
teilweise;részbeni
Teilzahlung (e);részletfizetés
Telefon;telefon
Telefon (s);telefon
Telefonbuch;telefonkönyv
Telefonbuch (s);telefonkönyv
telefonieren;telefonál
Telefonzelle (e);telefonfülke
Telegraf (r);távíró
Telegramm;távirat
Telegramm (s);távirat
Telegraph (r);távíró
telegraphieren;táviratozik
Telephon;telefon
Telephon (s);telefon
telephonieren;telefonál
Teller (r);tányér
Tellerfleisch;főtt marhahús
Tempel (r);templom (nem keresztény)
Temperament;vérmérséklet
Temperament;temperamentum
Temperament (s);vérmérséklet
Temperament (s);temperamentum
Temperatur (e);hőmérséklet
Tempo;tempó
Tempo;sebesség
Tempo (s);tempó
Tempo (s);sebesség
Tendenz (e);tendencia
Tendenz (e);irányzat
Tennis;tenisz
Tennis (s);tenisz
Tennis spielen;teniszezik
Teppich (r);szőnyeg
Teppichboden (r);szőnyegpadló
Teppichboden (r);padlószőnyeg
Termin (r);határidő
termingemäß;határidőre
Terminplan (r);ütemterv
Terrain;terep
Terrain (s);terep
territorial;területi
Testament;végrendelet
Testament (s);végrendelet
testamentarisch;végrendeleti
testen;tesztel
teuer;drága
teuer werden;megdrágul
Teuerung (e);drágulás
Teuerung (e);drágaság
Teufel (r);ördög
teuflich;ördögi
